

---------------------------------------------------

-1016	16488	-880	8	12	33	3495
-976	16424	-816	3	24	33	3508
-808	16432	-560	-1	35	33	3516
-856	16560	-560	0	36	30	3523
-1040	16688	-328	0	42	29	3531
-856	16832	-456	-1	45	27	3538
-784	16600	-400	0	40	27	3545
-1208	16680	-384	0	37	26	3553
-1056	16440	-408	1	25	29	3560
-1016	16464	-328	6	16	30	3567
-752	16560	-352	6	1	29	3575
-752	16800	-408	12	0	28	3586
-936	16608	-936	12	8	26	3597
-1152	16552	-712	10	22	25	3608
-1056	16696	-712	6	16	29	3619
-1072	16712	-864	4	7	29	3631
-912	16520	-584	1	12	29	3642
-768	16536	-384	-2	26	27	3653
-912	16712	-424	-4	26	23	3665
-1088	16592	-360	-7	20	21	3676
-1072	16544	-464	-2	-7	18	3687
-984	16504	-504	1	-24	25	3698
-1008	16672	-592	6	-32	30	3710
-1168	16688	-800	8	-23	30	3721
-800	16448	-640	5	2	29	3734
-864	16592	-448	3	18	27	3746
-872	16736	-528	1	26	24	3757
-1080	16680	-800	-2	9	23	3768
-856	16528	-608	-3	-35	24	3780
-784	16624	-528	0	-41	23	3791
-880	16456	-472	-5	-20	24	3802
-696	16336	-512	-3	8	22	3813
-904	16600	-328	4	29	20	3826
-784	16736	-336	5	32	20	3837
-680	16696	-464	7	50	19	3849
-760	16848	-816	10	82	17	3860
-720	16560	-904	6	113	14	3871
-1088	16520	-544	5	145	17	3885
-1168	16416	-328	6	141	16	3896
-1024	16592	-256	9	139	19	3907
-1152	16704	-128	15	125	21	3919
-832	16520	-56	21	122	21	3929
-1016	16616	-296	39	74	22	3964
-1160	16816	-544	40	28	21	3975
-1032	16536	-864	45	-15	21	3986
-1024	16536	-848	41	-39	23	3997
-784	16872	-1144	38	-44	22	4009
-728	16616	-1088	26	-31	20	4020
-744	16400	-992	17	-25	17	4032
-880	16656	-904	12	-23	16	4043
-800	16720	-544	3	-12	11	4055
-1104	16632	-728	-3	-11	7	4068
-1016	16648	-880	-5	-21	5	4079
-792	16624	-672	-5	-35	7	4090
-880	16584	-408	-5	-26	3	4102
-616	16760	-120	-6	-13	1	4113
-720	16464	-304	1	5	0	4124
-912	16648	-304	8	21	-3	4135
-1080	16608	-8	12	23	1	4147
-1048	16520	-496	16	8	8	4158
-1016	16568	-584	18	2	9	4169
-976	16720	-520	18	9	12	4180
-864	16528	-664	19	11	13	4191
-984	16696	-744	22	16	10	4203
-840	16520	-496	19	17	13	4214
-1000	16536	-736	17	23	14	4226
-1024	16696	-728	19	17	12	4237
-1088	16608	-712	17	2	13	4251
-824	16736	-576	15	-3	12	4262
-720	16896	-760	12	0	8	4273
-976	16616	-720	10	-1	9	4284
-896	16584	-320	5	-19	7	4295
-1032	16568	-264	2	-29	7	4307
-1000	16648	-384	5	-38	7	4318
-1056	16736	-864	4	-36	8	4329
-1064	16608	-712	3	-13	8	4340
-1200	16720	-736	5	-6	12	4352
-936	16592	-504	6	-3	11	4363
-704	16672	-304	4	-4	12	4375
-776	16576	-528	4	-18	10	4386
-736	16584	-608	2	-28	10	4398
-1032	16536	-936	-4	-32	6	4411
-1192	16696	-704	-5	-28	7	4422
-1080	16576	-824	-7	-7	6	4437
-792	16632	-792	-8	9	9	4446
-1016	16528	-480	-11	29	11	4458
-928	16400	-472	-9	35	13	4469
-904	16424	-296	-6	31	12	4480
-776	16736	-632	-5	30	14	4492
-824	16840	-728	-5	31	12	4503
-1168	16752	-544	-5	33	8	4514
-1008	16768	-824	-8	33	9	4525
-1064	16488	-408	-10	19	8	4536
-1064	16592	-704	-13	7	10	4547
-952	16616	-472	-10	9	13	4559
-928	16560	-328	-7	17	12	4570
-952	16648	-416	-2	13	12	4581
-1016	16424	-400	-3	10	13	4593
-936	16608	-544	-1	10	16	4607
-1120	16696	-880	-4	7	14	4618
-904	16592	-752	-6	8	14	4629
-808	16736	-448	-8	24	13	4641
-1000	16456	-208	-9	32	11	4652
-1208	16632	-344	-8	16	12	4663
-1000	16488	-216	-2	1	12	4674
-1104	16688	-216	3	10	16	4687
-1112	16472	-560	7	21	16	4698
-928	16368	-632	9	24	16	4709
-864	16680	-136	11	23	21	4721
-896	16680	-656	6	24	18	4732
-1024	16664	-576	6	25	16	4743
-864	16664	-680	4	20	16	4755
-944	16664	-384	4	19	13	4766
-1168	16648	-416	1	22	13	4778
-1064	16704	-520	-3	8	9	4791
-1056	16608	-376	-2	2	12	4803
