		
82	-27	24	3486
62	-35	8	3499
62	-25	-3	3510
64	-20	-7	3517
49	-12	-14	3525
40	-9	-13	3532
28	7	-12	3539
25	12	-13	3547
9	-2	-10	3554
2	-15	-11	3561
-1	-46	-11	3569
2	-68	-13	3580
-11	-72	-16	3591
-37	-43	-16	3602
-37	-18	-17	3613
-38	-13	-24	3626
-43	-11	-29	3637
-34	-6	-22	3649
-42	-1	-24	3660
-31	-9	-26	3671
-25	-8	-26	3682
-35	6	-26	3693
-48	14	-24	3704
-48	-4	-26	3716
-43	-17	-28	3728
-49	-9	-30	3739
-55	-2	-32	3751
-56	-4	-37	3762
-54	-26	-48	3774
-53	-60	-54	3785
-56	-62	-57	3798
-75	-54	-51	3810
-70	-60	-47	3821
-62	-73	-47	3832
-56	-69	-46	3843
-56	-37	-35	3855
-50	-28	-28	3866
-45	-40	-21	3878
-28	-55	-28	3889
-28	-59	-27	3901
-30	-59	-22	3912
5	-52	-18	3953
6	-35	-16	3962
-8	-28	-14	3973
23	5	-19	3985
9	20	-15	3996
8	44	-13	4010
7	36	-18	4021
14	19	-18	4032
26	-2	-19	4043
22	-7	-17	4055
20	27	-21	4067
25	80	-24	4078
21	106	-16	4090
25	77	-19	4101
39	48	-20	4112
36	47	-18	4124
29	103	-21	4135
47	137	-18	4146
59	118	-11	4158
48	43	-15	4169
47	20	-3	4180
74	14	-2	4194
79	16	-2	4205
79	29	-4	4216
76	49	-9	4227
69	60	-12	4239
63	28	-13	4251
80	-6	-19	4262
79	-24	-21	4274
88	-22	-33	4285
73	-3	-31	4296
66	4	-34	4308
72	-8	-33	4319
87	-56	-30	4330
102	-87	-34	4342
91	-109	-31	4353
122	-115	-34	4364
135	-104	-29	4379
135	-70	-12	4390
161	-74	-4	4401
165	-107	3	4413
185	-142	9	4424
219	-148	22	4447
228	-121	35	4457
256	-95	43	4469
300	-85	74	4480
369	-95	97	4491
404	-102	127	4503
468	-60	185	4514
529	-24	229	4526
583	5	275	4537
639	29	311	4548
714	96	358	4561
740	146	396	4573
780	181	425	4584
828	171	463	4595
871	154	475	4607
912	125	479	4619
992	116	499	4630
1002	107	508	4641
991	128	538	4653
1016	146	578	4664
1068	149	624	4675
1016	193	640	4687
1000	301	687	4700
998	402	710	4711
929	455	617	4722
723	431	436	4735
615	568	428	4746
436	640	371	4757
299	673	291	4768
44	570	160	4780
-104	439	65	4791
-245	285	-38	4803
-378	128	-138	4814
-589	-66	-297	4825
-715	-149	-398	4837
-801	-212	-499	4848
-947	-300	-647	4860
-1111	-326	-734	4871
-1250	-300	-810	4882
-1399	-208	-910	4896
-1464	-131	-984	4907
-1520	-34	-1054	4917
-1715	175	-1173	4937
-1801	278	-1194	4948
-1812	377	-1200	4959
-1772	491	-1221	4971
-1786	535	-1217	4983
-1790	574	-1225	4994
-1749	586	-1235	5005
-1751	555	-1211	5019
-1640	550	-1163	5030
-1591	507	-1134	5041
-1543	468	-1122	5053
-1467	382	-1116	5065
-1400	306	-1087	5076
-1342	243	-1044	5087
-1299	182	-986	5099
-1212	59	-857	5110
-1129	-70	-768	5121
-1024	-193	-644	5133
-898	-305	-502	5144
-646	-430	-299	5156
-480	-447	-171	5167
-301	-366	-68	5178
-114	-134	47	5190
-13	55	135	5203
118	222	244	5214
307	332	410	5226
432	379	528	5237
652	434	647	5248
766	498	754	5259
879	652	875	5270
809	433	728	5282
476	219	524	5294
211	375	575	5305
480	667	666	5317
782	1088	733	5330
692	1080	787	5341
678	953	868	5352
814	709	909	5364
869	266	1023	5376
697	91	1142	5387
727	-33	1189	5398
955	-371	886	5419
809	-271	828	5428
634	-23	790	5439
589	592	726	5451
471	767	709	5462
332	725	707	5473
268	502	713	5485
371	132	711	5496
350	22	717	5507
314	74	709	5519
314	7	698	5530
296	-27	677	5541
357	-99	649	5554
300	-145	585	5566
277	-67	544	5577
246	-40	536	5588
275	-85	526	5599
260	-168	497	5611
273	-155	504	5622
276	-54	501	5634
247	1	492	5647
336	-41	503	5658
294	-96	522	5669
347	-113	547	5681
375	-126	560	5692
415	-109	581	5703
456	-56	591	5714
455	-50	618	5725
478	-71	625	5738
512	-96	625	5749
501	-121	620	5760
467	-133	607	5772
460	-122	599	5783
458	-146	604	5794
525	-225	588	5806
533	-275	558	5817
577	-326	539	5828
593	-313	538	5840
586	-232	567	5851
575	-200	603	5862
581	-157	596	5874
572	-167	585	5885
617	-198	592	5906
633	-209	599	5916
640	-242	616	5927
672	-270	636	5939
723	-285	628	5950
745	-381	648	5962
804	-447	636	5975
788	-474	636	5986
796	-435	631	5998
815	-274	640	6009
833	-159	686	6020
849	-162	756	6031
868	-298	799	6042
962	-476	859	6053
1076	-729	1004	6066
1094	-860	1064	6077
1215	-937	1089	6088
1394	-1020	1195	6100
1808	-960	1399	6111
2102	-818	1473	6122
2163	-616	1452	6134
2000	-754	1236	6145
1889	-795	1159	6156
2012	-6	1144	6168
1837	1479	1005	6179
1598	3347	901	6190
1472	3029	865	6202
893	1567	812	6213
871	836	860	6226
986	272	692	6237
852	-510	623	6249
946	-1029	482	6260
889	-1660	115	6271
761	-1829	-182	6282
728	-1967	-271	6293
765	-2124	-295	6305
260	-1991	-557	6316
-257	-1847	-723	6328
-810	-1889	-818	6339
-1255	-1972	-976	6350
-1275	-2039	-1067	6362
-1246	-2067	-1175	6373
-1814	-1185	-1264	6398
-2321	-662	-1204	6409
-2775	-70	-1118	6420
-3111	680	-1105	6432
-3115	1047	-1166	6443
-3073	1229	-1291	6454
-3067	1150	-1443	6465
-3230	573	-1720	6476
-3351	127	-1889	6487
-3504	-233	-1988	6498
-3591	-559	-2110	6510
-3589	-856	-2132	6521
-3576	-838	-2281	6532
-3675	-533	-2316	6544
-3869	-43	-2279	6555
-4027	845	-2217	6567
-4010	1413	-2123	6580
-3839	1742	-2001	6591
-3748	1674	-1824	6602
-3491	1595	-2027	6613
-3436	1534	-1989	6624
-2953	1374	-1826	6637
-2689	1268	-1669	6648
-2418	942	-1497	6659
-2339	210	-1200	6670
-1225	-404	-613	6682
-133	-426	-130	6695
514	-72	527	6706
751	618	798	6717
937	1232	1036	6728
939	1705	1452	6739
1353	1302	1769	6751
2500	506	1920	6762
3176	-421	1378	6773
1288	-107	426	6784
814	1184	989	6795
1002	1554	1764	6806
710	1675	1876	6817
839	2276	1702	6829
1760	2662	1421	6841
1001	530	1587	6852
863	-276	1432	6873
1105	-634	1190	6883
986	-888	1028	6894
657	-584	892	6905
760	142	878	6917
707	102	941	6928
639	2	950	6939
540	10	863	6950
436	-96	772	6961
450	-317	706	6973
545	-362	633	6984
551	-320	566	6996
458	-410	556	7007
494	-496	568	7020
523	-567	557	7031
533	-469	581	7042
539	-251	604	7053
473	-73	633	7065
400	16	647	7076
399	-64	660	7087
453	-188	655	7098
529	-292	658	7109
569	-320	679	7120
537	-238	700	7131
481	-210	696	7143
442	-216	703	7154
481	-262	708	7165
548	-286	709	7176
534	-331	687	7188
531	-376	674	7199
565	-356	653	7210
537	-399	640	7221
602	-452	633	7233
612	-431	630	7244
647	-438	649	7255
667	-311	681	7266
679	-245	694	7277
693	-265	711	7289
776	-434	749	7302
863	-519	776	7313
942	-530	800	7324
1010	-470	817	7335
1089	-388	866	7356
1134	-429	901	7365
1210	-528	1022	7376
1284	-619	1157	7388
1313	-763	1200	7399
1206	-1066	1324	7410
1381	-1451	1583	7421
1864	-1549	1621	7433
2333	-1641	1546	7444
2669	-1975	1479	7455
2482	-2604	1359	7466
2477	-2685	1095	7477
2643	-1083	682	7491
2555	2759	447	7502
1865	3728	778	7512
1249	3407	847	7524
-122	1786	543	7535
-629	657	835	7546
957	-468	736	7557
1491	-947	582	7568
808	-1337	392	7579
107	-1580	47	7590
-15	-1701	-219	7602
194	-1943	-409	7613
253	-2186	-594	7624
21	-2331	-837	7636
-818	-2368	-1028	7647
-1301	-2353	-1103	7660
-1539	-2304	-1157	7672
-1600	-1999	-1216	7683
-1823	-1308	-1263	7694
-2224	-690	-1291	7705
-2545	-207	-1275	7716
-2923	208	-1264	7727
-3127	510	-1298	7738
-3205	694	-1381	7749
-3204	775	-1534	7760
-3296	723	-1796	7772
-3550	424	-1940	7783
-3845	-96	-2028	7795
-3827	-713	-2150	7808
-3705	-908	-2222	7819
-3799	-312	-2307	7838
-3997	279	-2370	7848
-4216	917	-2433	7859
-4363	1570	-2459	7870
-4352	2292	-2409	7882
-4199	2367	-2402	7893
-3966	2225	-2438	7904
-3669	1991	-2255	7915
-3347	1789	-2103	7926
-2980	1230	-1744	7937
-2706	845	-1457	7948
-1609	-224	-886	7962
9	-564	-406	7974
1101	-518	170	7985
1251	-33	570	7996
1374	1394	1083	8007
1521	1984	1562	8018
1638	1614	2119	8029
2252	259	2210	8040
2713	-656	1118	8051
1161	1325	997	8063
951	2192	1511	8074
658	2167	1761	8085
226	1913	1809	8097
1074	2317	1610	8108
1867	1412	1527	8121
1054	-398	1582	8133
885	-150	1358	8144
806	84	1179	8155
767	99	1077	8167
703	165	996	8178
689	140	1006	8189
657	192	946	8200
702	109	857	8211
607	57	794	8223
548	88	763	8234
429	107	735	8245
378	5	726	8256
392	-170	696	8267
358	-194	652	8279
282	-97	641	8293
280	-39	641	8303
285	-100	634	8322
277	-176	622	8333
276	-195	598	8345
282	-172	567	8356
355	-111	554	8367
409	-116	552	8378
424	-192	550	8389
413	-259	547	8401
397	-309	576	8413
419	-364	598	8424
412	-450	613	8435
387	-468	575	8447
580	-672	587	8460
727	-706	576	8471
784	-407	604	8482
581	-178	633	8493
485	-46	642	8505
501	-59	658	8516
614	-255	647	8527
646	-327	666	8538
690	-357	682	8549
752	-364	689	8561
780	-395	709	8572
831	-513	723	8583
880	-621	734	8594
956	-633	735	8605
1060	-556	762	8616
1113	-342	789	8628
1058	-223	826	8641
1180	-468	907	8653
1241	-567	1048	8664
1343	-705	1174	8675
1370	-1017	1242	8686
1396	-1389	1294	8697
1866	-2034	1408	8709
2330	-2373	1461	8720
2830	-2594	1419	8731
3298	-2303	1259	8742
3187	-2396	944	8754
2819	-1480	561	8765
2196	1959	309	8778
188	4532	473	8803
-272	4361	460	8812
673	2726	777	8823
807	552	848	8835
1074	-249	765	8846
1110	-525	589	8857
790	-641	79	8868
478	-774	-155	8879
420	-1054	-275	8891
324	-1352	-307	8902
-29	-1687	-491	8913
-372	-1760	-651	8924
-785	-1874	-829	8935
-1286	-2020	-968	8947
-1549	-2064	-1073	8959
-1695	-2056	-1207	8972
-1772	-1851	-1406	8983
-1782	-1585	-1522	8994
-1999	-1094	-1547	9006
-2306	-672	-1518	9017
-2742	-44	-1471	9029
-3044	495	-1466	9040
-3290	906	-1498	9052
-3409	1202	-1571	9063
-3567	1121	-1691	9074
-3544	873	-1888	9086
-3520	323	-2068	9099
-3589	-134	-2150	9110
-3507	-414	-2199	9121
-3501	-569	-2269	9133
-3628	-442	-2217	9144
-3665	-47	-2093	9155
-3736	557	-2058	9166
-3810	1513	-1928	9177
-3725	1693	-1861	9188
-3699	1570	-1796	9200
-3554	1247	-1777	9211
-3340	1066	-1819	9222
-2936	481	-1787	9233
-2705	95	-1698	9245
-2511	80	-1513	9257
-1957	-33	-1033	9268
-1450	-568	-455	9283
-1114	-646	-297	9292
194	-672	270	9305
539	-494	693	9317
1065	215	1020	9329
1394	759	1288	9340
1412	1123	1465	9351
1512	1427	1573	9363
1584	798	1291	9374
819	676	665	9385
450	1419	726	9397
859	2185	1163	9410
675	1853	1363	9421
820	1291	1464	9432
1247	1324	1426	9443
981	1303	1544	9454
1231	654	1711	9466
1459	63	1626	9477
1073	-308	1124	9488
765	-329	944	9499
869	306	848	9510
935	692	925	9521
654	363	924	9532
637	-18	839	9544
813	-368	770	9555
755	-319	715	9567
466	-99	645	9578
359	-46	588	9590
362	-17	549	9601
345	-63	513	9612
278	-248	473	9626
278	-315	440	9638
354	-389	430	9649
381	-441	428	9660
384	-487	419	9672
351	-483	436	9683
317	-408	459	9694
399	-397	538	9705
456	-410	545	9717
505	-413	525	9728
512	-298	553	9741
512	-218	590	9751
540	-135	628	9770
585	-80	652	9781
599	16	671	9793
626	97	642	9804
617	63	605	9815
637	9	575	9826
651	-39	558	9837
649	-128	555	9848
650	-173	538	9859
632	-214	517	9871
611	-228	515	9882
599	-215	516	9893
584	-208	546	9904
573	-227	536	9916
593	-230	544	9927
603	-246	558	9940
625	-214	564	9952
645	-209	565	9964
654	-216	553	9975
655	-207	524	9986
711	-312	543	9997
899	-425	555	10009
908	-419	603	10020
919	-422	648	10031
961	-426	693	10042
961	-531	781	10054
931	-703	861	10065
893	-994	1008	10078
1102	-1096	973	10089
1345	-1217	988	10101
1555	-1134	1102	10112
1840	-1079	1259	10123
2045	-1191	1349	10134
2225	-1352	1442	10145
2392	-1608	1495	10156
2361	-1542	1258	10168
2214	-1812	829	10179
1868	-737	471	10190
1591	1789	126	10201
906	4429	304	10212
335	5536	660	10226
1264	2382	871	10246
1546	351	799	10256
1718	-204	638	10267
1600	-477	438	10278
1127	-752	155	10290
658	-1023	10	10301
341	-1336	-84	10312
338	-1626	-181	10324
334	-1829	-342	10335
266	-1874	-581	10346
193	-1864	-864	10357
-190	-1878	-1191	10369
-541	-1869	-1335	10380
-861	-1820	-1412	10393
-1085	-1614	-1566	10404
-1193	-1473	-1689	10415
-1213	-1055	-1759	10426
-1370	-452	-1846	10438
-1943	617	-1874	10449
-2263	1184	-1873	10460
-2321	1689	-1911	10471
-2359	2041	-1987	10482
-2481	2106	-2084	10493
-2633	1815	-2278	10504
-2725	1432	-2458	10515
-2709	913	-2751	10529
-2680	756	-2880	10541
-2677	839	-2914	10552
-2579	1116	-2882	10563
-2398	1746	-2781	10574
-2349	2273	-2590	10585
-2442	2719	-2458	10597
-2909	3404	-2415	10608
-2943	3813	-2365	10620
-2692	4041	-2370	10631
-2444	4050	-2376	10642
-2250	3991	-2390	10653
-2153	3908	-2184	10665
-1914	3952	-2006	10678
-1590	3888	-1721	10689
-1390	3802	-1515	10700
-1329	3587	-1265	10711
-1159	2828	-806	10730
-996	2254	-509	10740
-667	1853	-253	10751
-370	1493	-34	10762
-407	2844	395	10774
-856	4543	1116	10785
2672	2336	1378	10796
3945	-1252	2593	10808
186	-2085	2352	10819
-301	-897	2085	10832
-61	-890	1912	10843
-139	-958	1004	10854
-130	1151	717	10865
357	3477	731	10877
972	2731	815	10888
-637	193	1029	10899
-24	331	840	10910
208	178	615	10922
-127	245	394	10933
-155	707	331	10944
-154	535	336	10956
-76	394	240	10967
74	262	249	10980
-92	204	317	10991
-166	354	397	11002
-69	459	412	11013
-94	428	385	11024
-186	463	368	11035
-279	552	299	11046
-312	563	219	11057
-326	468	173	11068
-404	470	172	11080
-322	307	157	11092
-179	132	115	11103
-310	271	134	11114
-437	461	125	11125
-444	588	97	11136
-414	658	62	11149
-454	642	27	11161
-431	553	-12	11172
-404	412	-40	11183
-386	297	-37	11193
-365	107	-62	11212
-378	125	-55	11223
-292	234	-29	11234
-244	267	-6	11245
-236	291	-2	11256
-225	380	42	11267
-86	210	48	11278
-34	192	78	11289
-73	346	111	11300
-58	380	116	11312
-32	350	120	11324
-38	379	104	11335
-13	405	82	11346
28	510	77	11357
32	547	81	11368
33	490	78	11380
67	427	69	11393
100	385	51	11404
115	349	40	11415
133	327	27	11426
135	308	23	11437
114	286	16	11448
137	343	-13	11459
146	354	-21	11471
125	385	-32	11482
101	410	-35	11494
76	399	-40	11505
83	399	-56	11516
106	390	-71	11527
129	365	-78	11539
143	361	-75	11550
138	382	-75	11561
130	426	-84	11572
163	372	-83	11583
209	306	-72	11595
312	326	-64	11608
302	346	-66	11619
396	300	-86	11630
416	281	-86	11641
435	236	-99	11652
551	89	-130	11664
705	17	-167	11685
783	9	-184	11695
871	11	-193	11707
983	3	-200	11718
1077	-2	-183	11729
1144	27	-193	11740
1254	32	-90	11751
1271	249	-111	11762
1555	804	-262	11773
1760	1202	-265	11784
1476	1433	-275	11795
1505	1646	-340	11806
1655	1811	-402	11817
1734	2054	-493	11830
1743	2343	-604	11841
1721	2657	-716	11852
1735	3015	-778	11863
1692	3452	-868	11874
1657	3728	-909	11886
1693	3932	-944	11897
1626	3982	-1067	11908
1610	4140	-1007	11919
1651	4031	-1124	11931
1647	4153	-1054	11942
1834	4403	-1122	11953
1928	4706	-1156	11966
1639	4930	-1012	11978
878	5009	-886	11990
505	4851	-802	12001
342	4546	-754	12012
334	4162	-741	12023
442	3430	-792	12035
490	2863	-885	12046
403	2306	-981	12057
278	1840	-1070	12069
7	1310	-1175	12080
-52	1091	-1231	12091
-150	912	-1323	12102
-336	744	-1376	12114
-555	688	-1402	12127
-770	712	-1399	12138
-930	759	-1402	12149
-1229	918	-1435	12169
-1405	1022	-1447	12179
-1640	1189	-1448	12190
-1757	1304	-1439	12201
-1821	1439	-1434	12212
-1884	1569	-1442	12224
-1986	1761	-1461	12235
-2112	1804	-1504	12247
-2184	1839	-1563	12258
-2314	1748	-1545	12270
-2376	1663	-1533	12283
-2333	1693	-1662	12294
-2453	1718	-1856	12306
-2615	1673	-1851	12318
-2651	1647	-1757	12329
-2565	1551	-1643	12340
-2505	1506	-1562	12352
-2541	1406	-1475	12363
-2540	1362	-1389	12374
-2516	1250	-1290	12385
-2477	1154	-1234	12397
-2356	1076	-1185	12408
-2270	961	-1141	12419
