			
424	16736	-808	82
360	16456	-1224	62
200	16520	-1168	62
288	16616	-1296	64
16	16704	-1088	49
0	16832	-1248	40
-312	16936	-1128	28
-256	16960	-1056	25
-192	16800	-1184	9
-144	16752	-1360	2
40	16624	-1376	-1
-48	16768	-968	2
176	16768	-800	-11
64	16568	-912	-37
176	16760	-816	-37
-24	16696	-600	-38
-144	16728	-512	-43
-352	16568	-632	-34
-328	16512	-640	-42
-64	16304	-648	-31
-232	16720	-736	-25
-136	16552	-720	-35
-336	16680	-744	-48
-272	16576	-760	-48
-272	16648	-648	-43
64	16728	-744	-49
72	16744	-704	-55
16	16584	-816	-56
-144	16744	-640	-54
-144	16680	-552	-53
-128	16600	-304	-56
-464	16600	-24	-75
-680	16600	-152	-70
-408	16856	-344	-62
-296	16512	-352	-56
-464	16456	-200	-56
-608	16448	-120	-50
-648	16728	-40	-45
-376	16432	-152	-28
-336	16520	176	-28
-312	16608	-160	-30
-424	16720	-24	5
-160	16512	-224	6
-480	16744	-304	-8
-344	16664	-168	23
-296	16728	-264	9
-472	16456	-328	8
-456	16768	-384	7
-632	16520	-232	14
-544	16600	-200	26
-424	16568	-600	22
-128	16488	-712	20
-336	16568	-344	25
-1184	16528	-184	21
-960	16568	-248	25
-344	16632	-192	39
-232	16552	-232	36
-112	16592	-528	29
-488	16520	-104	47
-1104	16720	360	59
-744	16616	-56	48
-424	16560	-720	47
-360	16864	-712	74
-64	16736	-544	79
-88	16720	-216	79
-240	16648	-408	76
-472	16656	-416	69
-392	16736	-368	63
-376	16720	-824	80
-424	16680	-728	79
-376	16560	-648	88
-392	16712	-512	73
-552	16592	-112	66
-704	16584	-592	72
-752	16672	-632	87
-688	16824	-104	102
-920	16768	-360	91
-704	16648	-8	122
-648	16560	64	135
-1008	16416	184	135
-1312	16560	288	161
-1160	16536	-176	165
-976	16496	-512	185
-920	16800	-496	219
-1056	16744	-560	228
-1064	16800	-312	256
-2136	16616	720	300
-2264	16208	1416	369
-2336	16096	1928	404
-2344	16464	2184	468
-2504	16576	1976	529
-2424	16912	1768	583
-2296	16928	1528	639
-1648	17232	728	714
-1920	17704	480	740
-1720	18152	224	780
-2208	18552	176	828
-2192	18760	-216	871
-1992	18752	168	912
-1760	19144	440	992
-1040	19752	328	1002
-776	19856	-416	991
-488	19640	-448	1016
744	19536	-1648	1068
1512	18856	-1808	1016
344	18320	-2464	1000
-48	18016	-2112	998
640	17056	-1784	929
-24	15984	-2144	723
-56	15736	-2056	615
-928	15288	-1416	436
-1800	14792	-1440	299
-2088	14112	-1352	44
-2008	13680	-1496	-104
-1816	13648	-1280	-245
-1120	13840	-952	-378
-160	14496	-1592	-589
-384	14752	-1776	-715
-1008	15088	-1616	-801
-1112	15472	-1032	-947
-1048	15848	-1560	-1111
-704	16072	-1992	-1250
-720	16576	-2744	-1399
-768	16632	-2696	-1464
-688	16752	-2096	-1520
-912	17640	-1776	-1715
-976	17376	-2128	-1801
-824	17360	-1464	-1812
-760	17608	-1112	-1772
-1400	17688	-1184	-1786
-2024	17576	-1208	-1790
-1320	17408	-1240	-1749
-1240	16968	-1160	-1751
-1200	16768	-1296	-1640
-1320	16896	-1488	-1591
-1360	16784	-1408	-1543
-1888	16296	-960	-1467
-1584	16512	-496	-1400
-1200	16776	-72	-1342
-1056	17080	280	-1299
-1920	16632	512	-1212
-1872	16016	1096	-1129
-1248	15512	944	-1024
-912	14944	1128	-898
40	14184	784	-646
424	14424	-80	-480
1176	14640	-248	-301
1208	15072	-456	-114
1040	15072	-1016	-13
880	14632	-864	118
728	14440	-1080	307
944	15216	-1616	432
2208	15288	-1128	652
3048	14504	-1680	766
-4016	16152	3416	879
-8304	17992	8488	809
-7944	19040	9704	476
-5392	19096	3328	211
-6960	20472	992	480
-7632	20568	2240	782
-8048	18024	1192	692
-7496	16464	-488	678
-3168	16152	888	814
4016	17008	2264	869
3392	17208	-768	697
304	16800	-2128	727
2736	17592	-1144	955
2408	17456	-2376	809
1384	17224	-4528	634
1512	16992	-3448	589
-496	16024	-1480	471
-2624	16040	-232	332
-2288	16440	0	268
-504	16592	-480	371
600	16784	-1632	350
840	16656	-1528	314
-104	17224	-704	314
584	17296	-648	296
1376	17272	-632	357
2168	16496	-856	300
3128	16720	-848	277
1264	16984	-496	246
-88	17024	-64	275
80	17048	112	260
1072	16952	-704	273
2280	16928	72	276
1064	16112	608	247
496	16728	1176	336
520	16800	576	294
472	16728	880	347
424	16864	640	375
824	16832	-208	415
1584	17200	-592	456
1400	16920	-1160	455
1512	16880	-1272	478
2104	16952	-1376	512
3160	16856	-584	501
2832	16848	-1016	467
2672	17160	-1376	460
2264	16984	-1576	458
2496	16936	-1744	525
2184	16624	-1680	533
1640	17152	-1416	577
1440	17464	-1544	593
1568	17448	-1832	586
1968	17096	-2256	575
2064	17400	-2120	581
2504	16920	-1960	572
3120	17208	-1264	617
2344	17144	-1608	633
1624	17224	-2128	640
1816	17248	-2568	672
1968	17544	-2376	723
1680	17504	-2096	745
2032	17104	-1656	804
2008	16264	-1400	788
2520	16776	-1032	796
2952	17448	-464	815
2488	17480	784	833
2056	17704	1416	849
2104	17960	1792	868
1600	19048	2320	962
456	18432	1704	1076
-1296	17232	1720	1094
-4008	15672	1800	1215
-5688	17144	1072	1394
-7392	21096	960	1808
-8128	24568	872	2102
-8064	28448	2168	2163
-8288	30112	-520	2000
-4688	28032	-3104	1889
-784	25760	-6304	2012
3864	24664	-5272	1837
11432	21864	1344	1598
16320	18400	1840	1472
15880	18592	-4368	893
17032	16240	-7448	871
13008	15032	-7416	986
8088	15360	-8032	852
4136	12112	-6872	946
3024	10272	-5552	889
5136	9312	-6536	761
4832	9936	-6608	728
1552	9840	-4920	765
2576	8504	-3008	260
4432	7216	-2968	-257
4728	7120	-4736	-810
4544	7432	-7784	-1255
